Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milwaukee Bucks*,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,,.552,12.9,20.7,.201,,.489,12.0,81.6,.178,,Fiserv Forum,549036,17711
2,Boston Celtics*,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,,.531,12.2,23.9,.207,,.509,13.5,77.4,.215,,TD Garden,610864,19090
3,Los Angeles Clippers*,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,,.535,12.6,23.5,.233,,.506,12.2,77.6,.206,,STAPLES Center,610176,19068
4,Toronto Raptors*,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105.0,+6.1,100.9,.264,.421,.574,,.536,13.1,21.3,.210,,.502,14.6,76.7,.202,,Scotiabank Arena,633456,19796
5,Los Angeles Lakers*,29.5,52,19,48,23,5.79,0.49,6.28,112.0,106.3,+5.7,100.9,.276,.358,.573,,.542,13.3,24.5,.201,,.515,14.1,78.8,.205,,STAPLES Center,588907,18997
6,Dallas Mavericks*,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,,.545,11.2,23.2,.206,,.525,10.6,77.7,.175,,American Airlines Center,682096,20062
7,Miami Heat*,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,+3.0,98.3,.299,.419,.587,,.547,13.5,20.3,.234,,.523,12.6,79.5,.213,,AmericanAirlines Arena,629771,19680
8,Houston Rockets*,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,,.537,12.6,21.0,.228,,.529,13.7,75.6,.197,,Toyota Center,578458,18077
9,Utah Jazz*,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,,.549,13.7,21.6,.208,,.518,11.1,78.9,.185,,Vivint Smart Home Arena,567486,18306
10,Philadelphia 76ers*,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,,.534,12.7,23.9,.193,,.523,12.5,80.3,.214,,Wells Fargo Center,639491,20629
11,Denver Nuggets*,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,,.535,12.3,24.8,.183,,.533,12.9,76.8,.198,,Pepsi Center,633153,19186
12,Indiana Pacers*,25.6,45,28,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,,.534,12.0,20.0,.170,,.511,13.0,76.7,.192,,Bankers Life Fieldhouse,529002,16531
13,Oklahoma City Thunder*,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,,.530,12.4,19.3,.231,,.518,12.6,76.8,.173,,Chesapeake Energy Arena,600699,18203
15,Brooklyn Nets*,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,,.520,13.1,23.2,.199,,.511,11.0,77.8,.187,,Barclays Center,524907,16403
16,Orlando Magic*,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,,.506,11.5,22.3,.198,,.535,13.2,79.1,.176,,Amway Center,529870,17093
19,Portland Trail Blazers*,27.5,35,39,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,,.533,11.2,22.4,.194,,.530,11.2,75.3,.208,,Moda Center,628303,19634
